-2.4	-2.1	20	25	0.9179	0.0159531	0.9192	0.0109563	-1	-1	-1	-1
-2.4	-2.1	25	30	0.9163	0.0263759	0.9436	0.0110386	-1	-1	-1	-1
-2.4	-2.1	30	35	0.941	0.0126495	0.9591	0.00831986	-1	-1	-1	-1
-2.4	-2.1	35	40	0.9388	0.0127758	0.9677	0.00574891	-1	-1	-1	-1
-2.4	-2.1	40	45	0.9516	0.00691158	0.9742	0.00300167	-1	-1	-1	-1
-2.4	-2.1	45	50	0.9431	0.0123568	0.9794	0.00585235	-1	-1	-1	-1
-2.4	-2.1	50	60	0.9493	0.0130587	0.9854	0.00432782	-1	-1	-1	-1
-2.4	-2.1	60	120	0.9519	0.020906	0.9783	0.00596657	-1	-1	-1	-1
-2.1	-1.85	20	25	0.9321	0.0238516	0.9256	0.00834506	-1	-1	-1	-1
-2.1	-1.85	25	30	0.9451	0.0114477	0.9505	0.0260647	-1	-1	-1	-1
-2.1	-1.85	30	35	0.9597	0.0122332	0.9742	0.0191387	-1	-1	-1	-1
-2.1	-1.85	35	40	0.9644	0.00722772	0.9757	0.00550091	-1	-1	-1	-1
-2.1	-1.85	40	45	0.9754	0.00620967	0.9876	0.00252389	-1	-1	-1	-1
-2.1	-1.85	45	50	0.9774	0.0108683	0.9892	0.00214009	-1	-1	-1	-1
-2.1	-1.85	50	60	0.9824	0.00822192	0.9867	0.00411825	-1	-1	-1	-1
-2.1	-1.85	60	120	0.9689	0.0146986	0.9938	0.00304795	-1	-1	-1	-1
-1.85	-1.6	20	25	0.9223	0.0102474	0.9173	0.0103407	-1	-1	-1	-1
-1.85	-1.6	25	30	0.9408	0.0109165	0.9463	0.0129711	-1	-1	-1	-1
-1.85	-1.6	30	35	0.9496	0.0156605	0.9551	0.0158619	-1	-1	-1	-1
-1.85	-1.6	35	40	0.958	0.00763217	0.976	0.0052	-1	-1	-1	-1
-1.85	-1.6	40	45	0.9688	0.00607289	0.9863	0.00156205	-1	-1	-1	-1
-1.85	-1.6	45	50	0.9789	0.00683081	0.992	0.00275136	-1	-1	-1	-1
-1.85	-1.6	50	60	0.9736	0.010565	0.9871	0.0200592	-1	-1	-1	-1
-1.85	-1.6	60	120	0.9686	0.0102616	0.9891	0.00554707	-1	-1	-1	-1
-1.6	-1.4	20	25	0.9315	0.0118727	0.9264	0.00763806	-1	-1	-1	-1
-1.6	-1.4	25	30	0.9301	0.0349268	0.948	0.0135989	-1	-1	-1	-1
-1.6	-1.4	30	35	0.9556	0.0166904	0.9607	0.00559732	-1	-1	-1	-1
-1.6	-1.4	35	40	0.9723	0.00708378	0.9728	0.00306105	-1	-1	-1	-1
-1.6	-1.4	40	45	0.9806	0.00498197	0.9844	0.00348855	-1	-1	-1	-1
-1.6	-1.4	45	50	0.9861	0.00371214	0.9857	0.00148661	-1	-1	-1	-1
-1.6	-1.4	50	60	0.9872	0.00776209	0.9901	0.003245	-1	-1	-1	-1
-1.6	-1.4	60	120	0.9897	0.010824	0.9938	0.00205913	-1	-1	-1	-1
-1.4	-1.2	20	25	0.942	0.0105688	0.9169	0.0106301	-1	-1	-1	-1
-1.4	-1.2	25	30	0.9345	0.028457	0.9386	0.00813941	-1	-1	-1	-1
-1.4	-1.2	30	35	0.9508	0.011905	0.9552	0.0117277	-1	-1	-1	-1
-1.4	-1.2	35	40	0.9692	0.00470106	0.97	0.0045793	-1	-1	-1	-1
-1.4	-1.2	40	45	0.9797	0.00156525	0.981	0.00565685	-1	-1	-1	-1
-1.4	-1.2	45	50	0.9829	0.00367151	0.9849	0.00283196	-1	-1	-1	-1
-1.4	-1.2	50	60	0.9875	0.00580086	0.9869	0.00222036	-1	-1	-1	-1
-1.4	-1.2	60	120	0.9864	0.00694046	0.9913	0.00459674	-1	-1	-1	-1
-1.2	-0.9	20	25	0.9329	0.0162265	0.9188	0.011887	-1	-1	-1	-1
-1.2	-0.9	25	30	0.939	0.00737902	0.9416	0.00631269	-1	-1	-1	-1
-1.2	-0.9	30	35	0.9515	0.0138813	0.9532	0.00649384	-1	-1	-1	-1
-1.2	-0.9	35	40	0.965	0.00468722	0.9704	0.00332866	-1	-1	-1	-1
-1.2	-0.9	40	45	0.9752	0.00445533	0.9781	0.00192094	-1	-1	-1	-1
-1.2	-0.9	45	50	0.9768	0.00559017	0.9819	0.00134164	-1	-1	-1	-1
-1.2	-0.9	50	60	0.9765	0.0109786	0.9812	0.00339706	-1	-1	-1	-1
-1.2	-0.9	60	120	0.9744	0.0140769	0.9876	0.00601082	-1	-1	-1	-1
-0.9	-0.6	20	25	0.9067	0.0199973	0.913	0.00926553	-1	-1	-1	-1
-0.9	-0.6	25	30	0.9227	0.0360235	0.9396	0.0087367	-1	-1	-1	-1
-0.9	-0.6	30	35	0.9471	0.0114438	0.9541	0.00620967	-1	-1	-1	-1
-0.9	-0.6	35	40	0.9635	0.00670075	0.9712	0.00272947	-1	-1	-1	-1
-0.9	-0.6	40	45	0.9719	0.00780577	0.981	0.00241661	-1	-1	-1	-1
-0.9	-0.6	45	50	0.977	0.00511957	0.983	0.00430813	-1	-1	-1	-1
-0.9	-0.6	50	60	0.9686	0.0188534	0.9855	0.00336155	-1	-1	-1	-1
-0.9	-0.6	60	120	0.979	0.00813449	0.9852	0.00216333	-1	-1	-1	-1
-0.6	-0.3	20	25	0.9257	0.0488222	0.9107	0.00893756	-1	-1	-1	-1
-0.6	-0.3	25	30	0.9376	0.0113208	0.9366	0.0064195	-1	-1	-1	-1
