-0.6	-0.3	30	35	0.9525	0.0127012	0.9618	0.00505964	-1	-1	-1	-1
-0.6	-0.3	35	40	0.9642	0.00543323	0.9697	0.00410366	-1	-1	-1	-1
-0.6	-0.3	40	45	0.9766	0.0038833	0.9823	0.00206155	-1	-1	-1	-1
-0.6	-0.3	45	50	0.9798	0.00388973	0.9861	0.00367696	-1	-1	-1	-1
-0.6	-0.3	50	60	0.9766	0.0113053	0.9856	0.00430116	-1	-1	-1	-1
-0.6	-0.3	60	120	0.9835	0.00460109	0.9868	0.00240832	-1	-1	-1	-1
-0.3	-0.2	20	25	0.8974	0.0517916	0.9085	0.0163478	-1	-1	-1	-1
-0.3	-0.2	25	30	0.9091	0.0185715	0.9325	0.0124868	-1	-1	-1	-1
-0.3	-0.2	30	35	0.9261	0.0108171	0.9462	0.00864928	-1	-1	-1	-1
-0.3	-0.2	35	40	0.9456	0.0118258	0.9601	0.00370135	-1	-1	-1	-1
-0.3	-0.2	40	45	0.9496	0.00690507	0.9692	0.00375899	-1	-1	-1	-1
-0.3	-0.2	45	50	0.951	0.0216689	0.9768	0.00389102	-1	-1	-1	-1
-0.3	-0.2	50	60	0.9507	0.0174562	0.9689	0.00686003	-1	-1	-1	-1
-0.3	-0.2	60	120	0.9679	0.0153769	0.9764	0.010018	-1	-1	-1	-1
-0.2	0	20	25	0.9248	0.05	0.9077	0.014682	-1	-1	-1	-1
-0.2	0	25	30	0.9284	0.0263911	0.9413	0.00528394	-1	-1	-1	-1
-0.2	0	30	35	0.9496	0.00984124	0.9522	0.011245	-1	-1	-1	-1
-0.2	0	35	40	0.9672	0.0118609	0.9652	0.00649384	-1	-1	-1	-1
-0.2	0	40	45	0.9746	0.00475395	0.9747	0.00519711	-1	-1	-1	-1
-0.2	0	45	50	0.9769	0.00858662	0.9796	0.00128062	-1	-1	-1	-1
-0.2	0	50	60	0.9731	0.00631585	0.9828	0.00202485	-1	-1	-1	-1
-0.2	0	60	120	0.9728	0.0268561	0.9845	0.00521536	-1	-1	-1	-1
0	0.2	20	25	0.904	0.05	0.892	0.0152611	-1	-1	-1	-1
0	0.2	25	30	0.9404	0.0103619	0.9458	0.0108268	-1	-1	-1	-1
0	0.2	30	35	0.9551	0.0142042	0.9514	0.00444185	-1	-1	-1	-1
0	0.2	35	40	0.969	0.0179402	0.9611	0.0045607	-1	-1	-1	-1
0	0.2	40	45	0.9688	0.0118152	0.9732	0.00310161	-1	-1	-1	-1
0	0.2	45	50	0.9729	0.0103407	0.9802	0.00353836	-1	-1	-1	-1
0	0.2	50	60	0.9738	0.008544	0.9825	0.0035609	-1	-1	-1	-1
0	0.2	60	120	0.9778	0.0086539	0.9802	0.00497393	-1	-1	-1	-1
0.2	0.3	20	25	0.9146	0.048458	0.8918	0.0111826	-1	-1	-1	-1
0.2	0.3	25	30	0.904	0.021154	0.9303	0.00817068	-1	-1	-1	-1
0.2	0.3	30	35	0.9315	0.013324	0.9474	0.0082365	-1	-1	-1	-1
0.2	0.3	35	40	0.9541	0.0154434	0.9628	0.00394462	-1	-1	-1	-1
0.2	0.3	40	45	0.9555	0.0157099	0.9704	0.00404969	-1	-1	-1	-1
0.2	0.3	45	50	0.9634	0.00819085	0.9678	0.00681542	-1	-1	-1	-1
0.2	0.3	50	60	0.954	0.0122772	0.9698	0.00734098	-1	-1	-1	-1
