DeepJetc;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.93794909158"
1,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02117653196"
1,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.996461010167"
1,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.04589205375"
1,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.05775320244"
1,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.03885090985"
1,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.07665549503"
1,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.10771656788"
1,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.08310024634"
1,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.13233288943"
1,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.20464228832"
1,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.15485818186"
1,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.25442639478"
1,TnP,central,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.03010799036"
1,TnP,down,0,-2.4,2.4,300.0,600.0,0.0,1.0,"0.835992941107"
1,TnP,up,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.22422303961"
2,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.96898426612"
2,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.948115481518"
2,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.989853050721"
2,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.00757611991"
2,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.989635303743"
2,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.02551693607"
2,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01749116885"
2,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.00217991342"
2,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.03280242428"
2,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.0225960937"
2,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00961866525"
2,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.03557352215"
2,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.02994981816"
2,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.01233168345"
2,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.04756795287"
2,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.992826078817"
2,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.961445742307"
2,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.02420641533"
2,TnP,central,0,-2.4,2.4,300.0,600.0,0.0,1.0,"0.832711343419"
