DeepJetc;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"1.11931034004"
1,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.01124876603"
1,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.992683803618"
1,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"1.02981372844"
1,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.987220105195"
1,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.968822519825"
1,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"1.00561769057"
1,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.079873063"
1,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.05804448324"
1,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"1.10170164276"
1,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.03623048456"
1,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.993651020849"
1,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.07880994827"
1,TnP,central,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.22159651284"
1,TnP,down,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.0558125773"
1,TnP,up,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.38738044839"
2,TnP,central,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.969266618521"
2,TnP,down,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.946788874715"
2,TnP,up,0,-2.4,2.4,30.0,50.0,0.0,1.0,"0.991744362327"
2,TnP,central,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.956006708647"
2,TnP,down,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.936736964738"
2,TnP,up,0,-2.4,2.4,50.0,70.0,0.0,1.0,"0.975276452556"
2,TnP,central,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.909868161294"
2,TnP,down,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.89482128968"
2,TnP,up,0,-2.4,2.4,70.0,100.0,0.0,1.0,"0.924915032907"
2,TnP,central,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.979121678902"
2,TnP,down,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.964241117072"
2,TnP,up,0,-2.4,2.4,100.0,140.0,0.0,1.0,"0.994002240732"
2,TnP,central,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.970876358446"
2,TnP,down,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.95426669838"
2,TnP,up,0,-2.4,2.4,140.0,200.0,0.0,1.0,"0.987486018512"
2,TnP,central,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.984093852365"
2,TnP,down,0,-2.4,2.4,200.0,300.0,0.0,1.0,"0.954485036597"
2,TnP,up,0,-2.4,2.4,200.0,300.0,0.0,1.0,"1.01370266813"
2,TnP,central,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.03488419397"
2,TnP,down,0,-2.4,2.4,300.0,600.0,0.0,1.0,"0.915166203805"
2,TnP,up,0,-2.4,2.4,300.0,600.0,0.0,1.0,"1.15460218414"
0, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.02447+-8.99115e-05*x+5.58886e-08*x*x+-0.640558/x" 
0, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.02447+-8.99115e-05*x+5.58886e-08*x*x+-0.640558/x)*(1-(0.0289434+-4.36033e-07*x+4.19075e-10*x*x))" 
0, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.02447+-8.99115e-05*x+5.58886e-08*x*x+-0.640558/x)*(1-(0.0284304+-4.29179e-07*x+4.20218e-10*x*x))" 
0, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.02447+-8.99115e-05*x+5.58886e-08*x*x+-0.640558/x)*(1-(0.00540273))" 
0, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.02447+-8.99115e-05*x+5.58886e-08*x*x+-0.640558/x)*(1+(0.0289434+-4.36033e-07*x+4.19075e-10*x*x))" 
0, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.02447+-8.99115e-05*x+5.58886e-08*x*x+-0.640558/x)*(1+(0.0284304+-4.29179e-07*x+4.20218e-10*x*x))" 
0, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.02447+-8.99115e-05*x+5.58886e-08*x*x+-0.640558/x)*(1+(0.00540273))" 
1, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "1.08541+3.25902e-06*x+8.40434e-08*x*x+-0.139995/x" 
1, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(1.08541+3.25902e-06*x+8.40434e-08*x*x+-0.139995/x)*(1-(0.0833097+-3.40066e-06*x+-3.29081e-09*x*x))" 
1, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.08541+3.25902e-06*x+8.40434e-08*x*x+-0.139995/x)*(1-(0.0826613+-3.31467e-06*x+-3.46075e-09*x*x))" 
1, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.08541+3.25902e-06*x+8.40434e-08*x*x+-0.139995/x)*(1-(0.0104241))" 
1, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(1.08541+3.25902e-06*x+8.40434e-08*x*x+-0.139995/x)*(1+(0.0833097+-3.40066e-06*x+-3.29081e-09*x*x))" 
1, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.08541+3.25902e-06*x+8.40434e-08*x*x+-0.139995/x)*(1+(0.0826613+-3.31467e-06*x+-3.46075e-09*x*x))" 
1, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(1.08541+3.25902e-06*x+8.40434e-08*x*x+-0.139995/x)*(1+(0.0104241))" 
2, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.995482+-3.83495e-05*x+9.7582e-08*x*x+-7.4478/x" 
2, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "(0.995482+-3.83495e-05*x+9.7582e-08*x*x+-7.4478/x)*(1-(0.17549+0.000175919*x+-1.93417e-07*x*x))" 
2, incl, down_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.995482+-3.83495e-05*x+9.7582e-08*x*x+-7.4478/x)*(1-(0.147028+0.000205468*x+-2.24255e-07*x*x))" 
2, incl, down_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.995482+-3.83495e-05*x+9.7582e-08*x*x+-7.4478/x)*(1-(0.0960568))" 
2, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "(0.995482+-3.83495e-05*x+9.7582e-08*x*x+-7.4478/x)*(1+(0.17549+0.000175919*x+-1.93417e-07*x*x))" 
2, incl, up_correlated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.995482+-3.83495e-05*x+9.7582e-08*x*x+-7.4478/x)*(1+(0.147028+0.000205468*x+-2.24255e-07*x*x))" 
2, incl, up_uncorrelated, 2, 0, 2.4, 20, 1000, 0, 1, "(0.995482+-3.83495e-05*x+9.7582e-08*x*x+-7.4478/x)*(1+(0.0960568))" 
